produto,preco,descricao,grupo,canal
Bolsa de Viagem,R$199,https://s.shopee.com.br/5pvb1H1CPb,Achadinhos da Lili 002,whatsapp
Kit LenÃ§ol,R$99,https://s.shopee.com.br/2qHz9GqgIt,Achadinhos da Lili 002,whatsapp
Bolsa de Viagem,R$199,https://s.shopee.com.br/5pvb1H1CPb,Achadinhos-Lili-Telegram,Telegram
Kit LenÃ§ol,R$99,https://s.shopee.com.br/2qHz9GqgIt,Achadinhos-Lili-Telegram,Telegram
Phone,R$99,https://s.shopee.com.br/9zl9gFQjum,Achadinhos-Lili-Telegram,Telegram
Smart tv 32 ,"879,9",https://s.shopee.com.br/4VQG6bL2H4,Achadinhos da Lili 002,whatsapp
Purudicador ,"429,9",https://s.shopee.com.br/8008HOC1Wz,Achadinhos da Lili 002,whatsapp
Escova secadora,"109,9",https://s.shopee.com.br/1VmeXaNRLR,Achadinhos da Lili 002,whatsapp
Fogão 4B ,"698,29",https://s.shopee.com.br/3fr97hm3GA,Achadinhos da Lili 002,whatsapp
Airfryer Elgin Oven,479,https://s.shopee.com.br/6fUkhQm5JQ,Achadinhos da Lili 002,whatsapp
Tanquinho,"341,1",https://s.shopee.com.br/xqlLuiPJ,Achadinhos da Lili 002,whatsapp
Airfryer ,189,https://s.shopee.com.br/6fUklIH8JG,Achadinhos da Lili 002,whatsapp
Tenis F. ,"88,9",https://s.shopee.com.br/4VQGBaAbn4,Achadinhos da Lili 002,whatsapp

